epoch,train_loss,train_pair_accuracy,seconds,vertices_seen,val_loss,val_pair_accuracy
33,6.008857250213623,0.8018798828125,3.688437281176448,262144,,
34,5.814182758331299,0.8093795776367188,3.342678552493453,262144,,
35,5.734447479248047,0.8118667602539062,3.342199615202844,262144,,
36,5.645690441131592,0.8174171447753906,3.325271062552929,262144,,
37,5.592556953430176,0.8179054260253906,3.3304711394011974,262144,,
38,5.566903114318848,0.8225173950195312,3.3095776457339525,262144,,
39,5.512417793273926,0.8227043151855469,3.3114419607445598,262144,,
40,5.482200622558594,0.8242950439453125,3.324975329451263,262144,,
41,5.4888739585876465,0.8257102966308594,3.391926536336541,262144,,
42,5.415893077850342,0.8270492553710938,3.407281600870192,262144,,
43,5.391256809234619,0.8279457092285156,3.400493991561234,262144,,
44,5.4035515785217285,0.8297576904296875,3.372745237313211,262144,,
45,5.357078552246094,0.8308906555175781,3.3859949838370085,262144,,
46,5.3433451652526855,0.8311805725097656,3.3716394202783704,262144,,
47,5.302916049957275,0.8318290710449219,3.3942012013867497,262144,,
48,5.323338985443115,0.8338623046875,3.400495344772935,262144,,
49,5.33143949508667,0.8336181640625,3.3722777450457215,262144,,
50,5.283402919769287,0.8342514038085938,3.3652817169204354,262144,,
51,5.297367095947266,0.8335838317871094,3.3746602227911353,262144,,
52,5.261207580566406,0.83642578125,3.3788897870108485,262144,,
53,5.215815544128418,0.8368148803710938,3.385702569037676,262144,,
54,5.230264663696289,0.8381881713867188,3.3950971448794007,262144,,
55,5.222184658050537,0.8387565612792969,3.3688422041013837,262144,,
56,5.256389141082764,0.8375587463378906,3.384811829775572,262144,,
57,5.217391490936279,0.837646484375,3.37289734557271,262144,,
58,5.177947521209717,0.8393669128417969,3.361755022779107,262144,,
59,5.19575309753418,0.8388214111328125,3.3739819321781397,262144,,
60,5.199479103088379,0.8393020629882812,3.3812873335555196,262144,,
61,5.112306118011475,0.8401870727539062,3.3860938418656588,262144,,
62,5.149385452270508,0.840118408203125,3.3743529226630926,262144,,
63,5.191779136657715,0.8401603698730469,3.3560818154364824,262144,,
64,5.151417255401611,0.8404731750488281,3.427256263792515,262144,5.245327889919281,0.83636474609375
65,5.117837429046631,0.8419303894042969,3.380738705396652,262144,,
66,5.179102897644043,0.8419761657714844,3.363916540518403,262144,,
67,5.139857292175293,0.8418006896972656,3.3600467620417476,262144,,
68,5.050079822540283,0.843902587890625,3.35517162270844,262144,,
69,5.1075544357299805,0.8437995910644531,3.3544965432956815,262144,,
70,5.099371910095215,0.8435249328613281,3.474233129993081,262144,,
71,5.104709625244141,0.8433723449707031,3.3967717308551073,262144,,
72,5.081879615783691,0.8449058532714844,3.3995038215070963,262144,,
73,5.088676452636719,0.8437118530273438,3.4065124057233334,262144,,
74,5.059508800506592,0.8456077575683594,3.3912566136568785,262144,,
75,5.071611404418945,0.84613037109375,3.4037412721663713,262144,,
76,5.086065769195557,0.843994140625,3.4070561584085226,262144,,
77,5.059716701507568,0.8447494506835938,3.3806468099355698,262144,,
78,5.042709827423096,0.8456764221191406,3.3761610919609666,262144,,
79,5.046287536621094,0.8463363647460938,3.3766917139291763,262144,,
80,5.063210964202881,0.8469886779785156,3.349985455162823,262144,,
81,5.0613250732421875,0.8464851379394531,3.35671239066869,262144,,
82,5.067554473876953,0.8467330932617188,3.3668743893504143,262144,,
83,5.027447700500488,0.8461837768554688,3.3643835447728634,262144,,
84,5.040621280670166,0.8466110229492188,3.408789805136621,262144,,
85,5.022490501403809,0.8467369079589844,3.3870958713814616,262144,,
86,4.988711833953857,0.8481178283691406,3.381236487068236,262144,,
87,5.010467052459717,0.8470458984375,3.3855080101639032,262144,,
88,4.995384216308594,0.8487815856933594,3.4043046021834016,262144,,
89,5.034278869628906,0.84820556640625,3.379838331602514,262144,,
90,5.006516933441162,0.8498001098632812,3.3688609711825848,262144,,
91,5.010563850402832,0.8499031066894531,3.3581609269604087,262144,,
92,4.997880935668945,0.8500175476074219,3.355343238450587,262144,,
93,5.012162685394287,0.8493843078613281,3.3533001421019435,262144,,
94,4.993228435516357,0.8495140075683594,3.4768900014460087,262144,,
95,5.00748348236084,0.850006103515625,3.4388979068025947,262144,,
96,4.9624738693237305,0.8501663208007812,3.412769149057567,262144,5.043081045150757,0.8458251953125
97,4.971975326538086,0.8505325317382812,3.434570818208158,262144,,
98,4.941064834594727,0.8491134643554688,3.4067954663187265,262144,,
99,4.967386722564697,0.8505668640136719,3.3597375620156527,262144,,
100,4.991638660430908,0.8492355346679688,3.3300772765651345,262144,,
101,4.971107482910156,0.8510208129882812,3.474314655177295,262144,,
102,4.914285659790039,0.8495597839355469,3.336518391035497,262144,,
103,4.953744411468506,0.8519477844238281,3.337971712462604,262144,,
104,5.0024518966674805,0.8513450622558594,3.379376718774438,262144,,
105,4.954748153686523,0.8512916564941406,3.5003818785771728,262144,,
106,4.980700969696045,0.851593017578125,3.4351715743541718,262144,,
107,4.91178035736084,0.8521842956542969,3.4614047715440392,262144,,
108,4.9625067710876465,0.8507347106933594,3.4872974762693048,262144,,
109,4.964155673980713,0.8514404296875,3.3766142511740327,262144,,
110,4.9476094245910645,0.8523750305175781,3.435817294754088,262144,,
111,4.889777183532715,0.8530158996582031,3.4019958889111876,262144,,
112,4.9357123374938965,0.8526840209960938,3.5192571049556136,262144,,
113,4.937045097351074,0.8529777526855469,3.533225522376597,262144,,
114,4.903529167175293,0.8537025451660156,3.430791737511754,262144,,
115,4.935116767883301,0.8527641296386719,3.3419348495081067,262144,,
116,4.957458019256592,0.8527069091796875,3.3266054298728704,262144,,
117,4.945911884307861,0.8529701232910156,3.3813401656225324,262144,,
118,4.919159412384033,0.8533706665039062,3.3686919258907437,262144,,
119,4.948705196380615,0.8539924621582031,3.3934557950124145,262144,,
120,4.928037166595459,0.8534126281738281,3.3723536133766174,262144,,
121,4.92870569229126,0.8521766662597656,3.367820678278804,262144,,
122,4.910955905914307,0.8526420593261719,3.4101861510425806,262144,,
123,4.952396392822266,0.8532180786132812,3.510346786119044,262144,,
124,4.9130778312683105,0.8555679321289062,3.420348205603659,262144,,
